sourceAddress,date,amount,destinationWallet,addressGroup
"14kigqxS1iFqx4uGQQpCtbfZrAd3wcS3A2, 16o2VgXrB24Y5LVNBdKmQXq7kFyKNnNVw9, 15tvQKcHWCJ9a4UrEhejpjBnwaorbNf39y",31/07/2017 12:42,0.12559488,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
"16tNcthmwwf3skeY8xQ5SEEWfkmoHYXinh, 1F2MmsS8f9GnPZ2xWxNbLVE5PpRwG3Peq, 19z9LeDxvPUA8cz6CnAn8de4q1FTZkQidK, 1L1FuAnhMNi2eXo8Yf3TMz7TH6HYnHXdPb, 17rmuJ6vDkyggBm6Kcc9ADYcRAXpzYzPMa",09/05/2017 05:03,0.75902915,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
"14TC2ig1Lz66r7duWkruubEmyQ5QLNw8uA, 13URs4guGtV2GnjJrgY6RqCLvUVtfmy3ey, 1NNwsu26wD9ivvK73YBWK9BrcGZUhcnaBV, 1PkNwDqRx5VKqa4sH8PWdE8HPhDJPJytGF, 1JCAmijadPt6W3Bv9d457FdivXLj4Lzxwn, 1PgQFtWsG3rQns4X367BTW2B8ADe1Tk1w4, 1DfvDDzM1urYJKCaFc3UH7SLgDVsa6Mxfb, 1MyaexguwS1r6chrgn9dqdM8tvPC88QeLj, 1Gtn7srLmsyu5D9DU83gvCxv1865PEUKbE, 1JGf7RHdUmv2ywGQAo1XJe1CtHJLxD4UQm, 14cdaE2o4WXxoEbSw8G11yDiyMhdiq4htj, 1JNZWx4aLSjZu9UoKL4SFpGvLJSEKYuqCP, 1Crjb5CkTiYtW9jrJfri9XBcX41t1KyMLK, 15eC7EL8iZz81CUuKR5MDEEzXcY8X28zK7",19/04/2017 07:06,0.29958952,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
195puArgMRAUR3FgQqvbEuC4TSZUWdnS2P,18/04/2017 15:20,0.66794307,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
"1NLbmvhVCQLrz65wGwQfxxBQFZBB95Fsia, 15VMdcHvV4RjAHbVt77pxYnxmWtRhgjig9, 1E3YaN72RTNgomNYJPVzZbutTYCDkgyabr",29/03/2017 14:06,0.51762196,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
1PiM9sspw27LnZuTTE4JCNdp8sYG7biqbN,15/02/2017 20:44,0.9999,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
15jx47WUBLJWibf6sprUkcfvqKJkj2P6rR,08/02/2017 05:54,0.2997,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
1H1WS2tFx5yCsxtefs9PSTdqVX2mduyf3b,05/02/2017 02:27,0.5,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
1BnRf3dKkPhZ5P5DGgYUFAB3CHPp1TVcFH,04/02/2017 05:41,0.5,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
3EzFtNAxW74yySCsgdL7yoqx5FwATMXJGf,13/01/2017 10:45,0.5,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
1KkxBXvUuEfKEQrBsQipddjhJEsbN4kN5K,11/01/2017 15:21,0.4998531,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
1AXBgLtrsr5pp98ZuKJD5mN6bkYERxaPcQ,10/01/2017 05:42,0.5,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
17WeMjwY1W8H78JSpLhkPx3FkVZwjo4PCB,10/01/2017 04:06,0.5,1MJodDvhmNG9ocRhhwvBzkGmttXP9ow7e2,LamdaLocker
