addressGroup,smallestAmount,largestAmount
7ev3n,0.00111225,0.00111225
AES-NI,0.000735,0.11
APT,0.00126313,10.0
AKo,0.0002,0.506
AlbDecryptor,0.00010392,8.458e-05
Avaddon,0.0241,0.0241
"Avos Locker",0.00019365,1.8045
Bagli,0.00002866,2.866e-05
Bitpaymer,30.00081368,59.99955749
"Black Kingdom",0.173,0.55035
"Black Mamba",0.0399,0.0399
"Black Matter",0.000312,96.386
"Black Router",0.00105,0.00123513
"Black Ruby",0.05009,0.087
Bucbi,0.00896,0.00896
CTB-Locker,0.0001,0.0001
Chimera,0.0001,0.0004
"Comrade Circle",2.03320001,2.03320001
Conti,0.00020409,92.24656707
"Crypt Console",0.00346729,0.503
CryptXXX,0.00001000,2.4
CryptoHost,0.002,0.002
CryptoLocker,0.0001,2.003
CryptoTorLocker2015,0.00005460,5.46e-05
Cryptohitman,0.0005,0.10294655
Cryptowall,0.02208822,0.3
Cuba,0.12743399,71.42750245
DMALocker,0.6,0.6
DMALockerv3,0.0003,9.9998531
DarkSide,1.693e-05,78.5
DeadBolt,0.00005460,0.03000000
Decryptiomega,0.05,0.05
EDA2,0.01101192,0.51582984
Ecovector,2.0,2.0
Egregor,15.55,7.33379781
Encrpt3d,0.00002866,0.11061782
Exotic,0.00638312,0.00638312
File-Locker,0.0000058,0.02429915
Flyper,0.0000543,1.0995
Git,0.00001032,0.00254304
Globe,0.00167882,1.54290504
GlobeImposter,0.000441,7.96628463
Globev3,0.0753894,2.0
Gula,0.0007,0.011702
HC6HC7,0.0108,0.15241931
HelloKitty,1.0,31.35294118
Jigsaw,0.32,0.32
Karakurt,0.00017196,7.33e-05
Kelly,0.05,0.05
LamdaLocker,0.12559488,0.9999
LockBit,0.001,2.8759
LockOn,0.005,0.005
Makop,0.00053,0.212952
MountLocker,1.0,297.5
NoobCrypt,0.00829768,1.25068155
NullByte,0.0172,0.0172
Phobos,0.08503,0.09943
Phoenix,0.00256772,0.00256772
PopCornTime,0.000006,0.00256772
NotNevada,0.004145,2.02201
Maui,0.0001,9.9
MedusaLocker,0.0001,8.583e-05
Netwalker,0.00011,93.15400325
NotPetya,0.0001,9.67e-06
Locky,0.0001,9e-05
Predator,0.0001,9.697e-05
Qlocker,0.0001,5.47e-06
Qweuirtksd,0.08,0.08
REvil,0.00055,7.67
RagnarLocker,1.0,68.4
Ransomnix,0.0499536,0.79971
RanzyLocker,0.21,0.21
Razy,0.0001,9.22e-06
Ryuk,0.00016544,99.99975
Sam,14.0,15.0
SamSam,0.0001,7.9999
Spora,0.00826,70.0
StorageCrypter,0.387653,0.400289
SunCrypt,7.44842773,7.44842773
SynAck,0.00131438,7.017e-05
Tejodes,0.00074341,1.40994
TeslaCrypt,0.0001,0.0001
TowerWeb,0.1095,0.42
TripleM,0.00066313,5.64
VegaJamperBuran,0.00182,0.01310268
VenusLocker,0.0014652,1.0
VevoLocker,0.00097895,0.014135
WannaCry,0.0001,9.852e-05
WannaRen,4.116e-05,5.374e-05
WannaSmile,0.00001376,0.00001376
XLocker,1.0,1.0
XLocker5.0,1.0,3.0
XTPLocker,1.0,2.0
Xorist,0.002,2.0
DarkAngels,0.00012345,38.14
