addressGroup,transactionCount
Buddy,0
Nemucod,0
CyberSpLiTTER,0
CryptoSweethTooth,0
BadEncrypt,0
TrumpLocker,0
l1me_expl0it,0
RushSanction,0
"Fake Globe",0
AngleWare,0
BadBlock,0
Filecry,0
"Adam Locker",0
Zyka,0
FileCrypt,0
Globev2,0
ChupaCabra,0
ThunderCrypt,0
ZeroLocker,0
Doxware,0
Philadelphia,0
Stupid,0
PayDay,0
Pgpsnippet,0
Alphabet,0
RansomPlus,0
Domino,0
"Black Feather",0
REKTLocker,0
DMALocker,1
Exotic,1
CryptoHost,1
CTB-Locker,1
Ecovector,1
LockOn,1
Kelly,1
NullByte,1
"Comrade Circle",1
"Black Mamba",1
Phoenix,1
7ev3n,1
Bucbi,1
Jigsaw,1
Decryptiomega,1
Avaddon,1
TeslaCrypt,1
RanzyLocker,1
SunCrypt,1
WannaSmile,1
XLocker,1
Qweuirtksd,1
Bitpaymer,2
MountLocker,2
Chimera,2
"Black Kingdom",2
"Avos Locker",2
"Black Router",2
Phobos,2
"Black Matter",2
DeadBolt,2
HelloKitty,2
VevoLocker,2
DarkAngels,2
WannaRen,2
StorageCrypter,2
Sam,2
Encrpt3d,3
Cryptowall,3
Flyper,3
Bagli,3
TowerWeb,3
Git,4
DarkSide,4
Ransomnix,4
XTPLocker,4
NotNevada,5
LockBit,5
PopCornTime,5
EDA2,6
Cryptohitman,6
"Black Ruby",6
HC6HC7,6
APT,6
XLocker5.0,7
VegaJamperBuran,7
VenusLocker,8
Egregor,9
REvil,9
RagnarLocker,9
Gula,11
TripleM,11
AKo,12
Xorist,12
LamdaLocker,13
"Crypt Console",15
Cuba,18
NoobCrypt,22
Spora,23
Tejodes,26
Karakurt,27
AlbDecryptor,29
GlobeImposter,32
SynAck,35
Conti,38
Globev3,43
Predator,46
AES-NI,47
CryptoLocker,54
File-Locker,54
Makop,54
CryptXXX,55
Razy,56
Ryuk,57
SamSam,65
Maui,78
Globe,81
NotPetya,105
CryptoTorLocker2015,134
DMALockerv3,158
WannaCry,302
MedusaLocker,452
Netwalker,455
Qlocker,921
Locky,8446
