addressGroup,firstTransactionYear
NotNevada,2022
DarkAngels,2022
DeadBolt,2022
"Black Matter",2021
SunCrypt,2021
DarkSide,2021
Karakurt,2021
VegaJamperBuran,2021
Avaddon,2021
"Avos Locker",2021
Bagli,2021
File-Locker,2021
Phobos,2021
Qlocker,2021
Razy,2021
Makop,2021
HelloKitty,2021
RanzyLocker,2021
AES-NI,2020
REvil,2020
AKo,2020
AlbDecryptor,2020
Bitpaymer,2020
"Black Kingdom",2020
RagnarLocker,2020
Egregor,2020
MountLocker,2020
LockBit,2020
Kelly,2020
Cuba,2020
WannaRen,2020
Tejodes,2019
MedusaLocker,2019
Encrpt3d,2019
Decryptiomega,2019
Git,2019
Netwalker,2019
"Black Ruby",2018
Maui,2018
Predator,2018
Qweuirtksd,2018
Ryuk,2018
Gula,2018
"Black Router",2018
Ransomnix,2017
HC6HC7,2017
Conti,2017
LamdaLocker,2017
Spora,2017
StorageCrypter,2017
Jigsaw,2017
SynAck,2017
"Black Mamba",2017
NotPetya,2017
VevoLocker,2017
WannaCry,2017
LockOn,2017
WannaSmile,2017
XLocker,2017
XLocker5.0,2017
Xorist,2017
DMALockerv3,2016
Ecovector,2016
Flyper,2016
Globe,2016
Globev3,2016
7ev3n,2016
Sam,2016
SamSam,2016
NullByte,2016
APT,2016
Phoenix,2016
PopCornTime,2016
Bucbi,2016
TowerWeb,2016
Exotic,2016
CTB-Locker,2016
VenusLocker,2016
"Comrade Circle",2016
"Crypt Console",2016
CryptXXX,2016
Locky,2016
CryptoHost,2016
Cryptohitman,2016
XTPLocker,2016
Cryptowall,2016
TripleM,2016
TeslaCrypt,2015
Chimera,2015
NoobCrypt,2015
GlobeImposter,2015
DMALocker,2015
CryptoTorLocker2015,2014
EDA2,2014
CryptoLocker,2013
