addressGroup,daysSinceFirstLastTransaction
7ev3n,0
RanzyLocker,0
Qweuirtksd,0
Phoenix,0
Phobos,0
Avaddon,0
"Avos Locker",0
NullByte,0
Ecovector,0
Sam,0
"Black Mamba",0
"Black Matter",0
LockOn,0
DarkAngels,0
Bucbi,0
CTB-Locker,0
Exotic,0
"Comrade Circle",0
Kelly,0
HelloKitty,0
Jigsaw,0
CryptoHost,0
XLocker,0
WannaSmile,0
WannaRen,0
DMALocker,0
TeslaCrypt,0
SunCrypt,0
DeadBolt,0
Decryptiomega,0
MountLocker,1
Chimera,1
StorageCrypter,1
Bitpaymer,4
"Black Ruby",8
XTPLocker,8
VevoLocker,13
PopCornTime,16
VegaJamperBuran,24
AKo,28
XLocker5.0,42
Egregor,45
Makop,48
TowerWeb,57
Gula,59
Cryptowall,60
CryptXXX,75
DarkSide,85
Bagli,86
APT,90
Xorist,105
NotNevada,113
HC6HC7,121
Tejodes,130
Globe,132
"Black Router",160
LamdaLocker,202
VenusLocker,213
Ransomnix,225
SynAck,264
NoobCrypt,271
RagnarLocker,284
Spora,306
AES-NI,328
CryptoLocker,332
TripleM,356
Predator,365
Qlocker,366
Karakurt,375
"Black Kingdom",377
DMALockerv3,382
AlbDecryptor,417
LockBit,431
Locky,470
"Crypt Console",504
Globev3,513
REvil,521
SamSam,534
EDA2,547
Netwalker,563
Encrpt3d,573
File-Locker,614
Flyper,640
CryptoTorLocker2015,672
Razy,707
Cuba,827
GlobeImposter,912
Git,926
Cryptohitman,1244
MedusaLocker,1327
Conti,1508
Maui,1563
Ryuk,1684
NotPetya,2079
WannaCry,2166
